profile,retrieval,split,id,category,question,expected_behavior,hit_at_5,recall_at_5,top5_context_tokens,retrieval_seconds,retrieved_ids
384,dense,development,C1,development_supported,Whose prior written approval is required for any facilitating payment?,answer,1,1.0,933,0.068153,b37950953da37460f69b79ba;62ad156f8374ba265f6fca29;452caf61a636beaca0134d38;5a28af6ce9f33fe0270a95fc;b599efe02b82d34ecebefc88
384,dense,development,C2,development_supported,When must contractors complete New Hire Security Training?,answer,1,1.0,608,0.067892,60a640c124d8fcdb5ec042a5;de92194f9390fede66caf439;92714e53ce5d98a3ad85a273;0f348af3b2b06c7c76595272;84664e9e9c0e9b67e4e01eed
384,dense,development,C3,development_supported,Is labeling data mandatory under GitLab's Data Classification Standard?,answer,1,1.0,619,0.068097,864d0edcbfd7588959585f47;3d8437f7f5eff14ec7c4c816;d772873ccca2ece6d1fee9e7;be60c838605b3209ee0c7068;976cb43c1f86799eb4fe77b7
384,dense,development,C4,development_unsupported,What is GitLab's reimbursement limit for installing home solar panels?,fallback,,,1586,0.074449,7b7d7df2f549c4bbe2afc252;5c3fa4cd5aac8b8a32a26cc2;83c7b6bc25000e70caa3e1bc;b6bc997f7846cd74d2b0765a;426c4464c9b014cc3eb9bbcf
384,dense,development,C5,development_unsupported,What is the office cafeteria menu for tomorrow?,fallback,,,744,0.063768,296b575dba4c7983052610d8;dbea5aecc70e9732d6ba365c;57d9ce436d4cb7b9360470c6;a758046269480bc7fbf92322;027aa35b339f00dd58712b9a
384,dense,development,C6,development_unsupported,What interest rate does GitLab pay on employee cryptocurrency savings accounts?,fallback,,,1660,0.068655,38196ff44e929ecd107fa884;7b7d7df2f549c4bbe2afc252;5c3fa4cd5aac8b8a32a26cc2;b6bc997f7846cd74d2b0765a;83c7b6bc25000e70caa3e1bc
384,dense,test,F1,factual,Where must GitLab team members log their time away?,answer,0,0.0,621,0.070873,609a03c28a6fdb8d9cab37df;aaad3da73c2be9e757dbebf8;3c448a3fe271d1e4c17da90f;ef8a346290a7acc9afe93271;de3fe7ddff9c213d681813e0
384,dense,test,F2,factual,What does GREEN mean in GitLab's data classification?,answer,1,1.0,840,0.060772,976cb43c1f86799eb4fe77b7;6d61d376d9cc6808534dcd06;d9dfa38e37363d200af0313d;d772873ccca2ece6d1fee9e7;dbd8dfd502d49ba24c5466bc
384,dense,test,F3,factual,Does the Anti-Harassment Policy cover contractors as well as employees?,answer,1,1.0,825,0.064848,eed65e99c68f8d245a102573;45ceb7d2d592e2d2fb0f4fb7;007ac3447d63ed0b510f438c;33d2bbcb29de8f1dfc461ca1;dccf7416a3a1032acfc01c90
384,dense,test,P1,paraphrase,I am working in a cafe. Can I leave my work laptop unattended while I get a drink?,answer,0,0.0,768,0.069574,396e8d3aab5d3aa0b226011f;c6a726051c348def9c960b96;a758046269480bc7fbf92322;85f00bed434406b24c346394;f9b4c1b3755cdae8216e592e
384,dense,test,P2,paraphrase,A supplier wants to give me a present while we are negotiating its contract. May I accept?,answer,1,1.0,1049,0.068697,04834c6d6cc9386dd944b069;e808511870f18f0ddafa06f0;b9d27add821b648057824379;7c560ba6221583f7189542f4;f16c92ae4d6b8d033ecb32a5
384,dense,test,N1,numeric,What is the minimum password length under GitLab Password Standards?,answer,1,1.0,624,0.078918,c8ff082624d6f6dace46ce70;18ac31aa5e7cb159c55f4b1a;d3d93e870e42690256366c74;d42e405d54b89e793b842e3a;97dabfb8d6b4d5c7c9e5ab93
384,dense,test,N2,numeric,Within how many days of starting must a new GitLab team member complete compliance training?,answer,1,1.0,1195,0.062374,92714e53ce5d98a3ad85a273;9eed2bfa83bd7f1c8f719d76;1a3fed82f84e9217f57069e2;247ef134ade7cc9fb601451e;a058f4a54da67d2426f46f7f
384,dense,test,A1,acronym,What does GSAT stand for and how often is it provided?,answer,1,1.0,917,0.066618,3d1c2124cd133f8a2d787a41;79d9b1fc849207a2aea7332a;5d5f90cd075b9f921ffb18ba;53fcf092751c68c45ca65661;1fe994b49acaccf7e42d659f
384,dense,test,M1,multi_document,"How are passwords classified, and where must a password be stored if storage is required?",answer,1,1.0,767,0.068685,5bf734df0ad39c25320ff848;18ac31aa5e7cb159c55f4b1a;be377395946653cfdb592429;d3d93e870e42690256366c74;4630825a2adfe1142aea1ea7
384,dense,test,B1,ambiguous,How many paid sick days am I legally entitled to?,fallback,,,1126,0.063223,79d9b1fc849207a2aea7332a;f6c1dd0357bb045cba36cf4d;67fd2bda3a7a8f542caf455d;fbc8e75d840878384dbaef95;5d5f90cd075b9f921ffb18ba
384,dense,test,B2,ambiguous,Can I claim this expense?,fallback,,,1466,0.055721,ccde0e17134fadc737d270d2;7976a1cb91d65682c5e02a6e;a919832df04fece5510590d2;5c3fa4cd5aac8b8a32a26cc2;b37950953da37460f69b79ba
